name,username,Following,Followers,Posts
Miranda,mirandakerr,"7,599",14M,"3,035"
Violet Summers,violets.tv,300,14M,"1,133"
Dr Naomi Campbell,naomi,"3,501",15M,133
JheneÌ Aiko Efuru Chilombo ğŸ”®,jheneaiko,297,17M,"2,454"
LOBODA,lobodaofficial,978,16M,"6,903"
KAI,zkdlin,0,15M,451
maddie,maddieziegler,"1,491",14M,"1,946"
Liam Hemsworth,liamhemsworth,307,13M,205
brooklynpeltzbeckham,brooklynpeltzbeckham,362,15M,455
Henrique e Juliano,henriqueejuliano,53,16M,"2,769"
BRIANDA ğŸ’–,briandadeyanara,983,14M,416
Iqbaal Ramadhan,iqbaal.e,"1,186",14M,328
Irwansyah,irwansyah_15,536,16M,"3,577"
Acun IlÄ±calÄ±,acunilicali,207,14M,580
Jeffree Star,jeffreestar,46,15M,"6,149"
Adam Levine,adamlevine,622,16M,665
Joanna Stevens Gaines,joannagaines,899,14M,"2,560"
BIANCA,bianca,"2,377",19M,"7,062"
PoW,dukeandduchessofcambridge,0,0,1
Neslihan AtaguÌˆl DogÌ†ulu,neslihanatagul,832,14M,596
Karan Johar,karanjohar,814,15M,"2,262"
Kehlani,kehlani,"1,536",15M,321
Gaten Matarazzo,gatenm123,"1,334",19M,940
Wanda nara,wanda_nara,"1,299",16M,"6,626"
Bella Poarch,bellapoarch,725,14M,340
Meghan Trainor,meghantrainor,"4,482",16M,"1,462"
â€Ù‡ÙŠÙØ§Ø¡ Ø­Ø³ÙˆÙ†ÙŠ Haifa Hassonyâ€,haifa_hassony,213,16M,908
ITS DON JAZZY AGAIN ğŸ˜,donjazzy,"7,814",15M,"3,890"
Andrea Brillantes,blythe,"2,698",14M,"4,051"
GERMAN,germangarmendia,345,16M,551
Immanuel Caesar Hito,hitocaesar,747,14M,"1,621"
Ğ”Ğ°Ğ²Ğ° â“‚ï¸ Ğ’ÑĞµÌˆ Ğ±ÑƒĞ´ĞµÑ‚ Ñ…Ğ¾Ñ€Ğ¾ÑˆĞ¾ğŸ§¸,dava_m,272,15M,453
NCT 127 Official Instagram,nct127,15,15M,"3,718"
â€Ù†ÙˆØ± Ø³ØªØ§Ø±Ø² | Noor Starsâ€,noorstars,"3,010",14M,860
Tottenham Hotspur,spursofficial,173,15M,10K
Angelica,angelicaksy,972,16M,"5,403"
treysongz,treysongz,"3,021",15M,"2,519"
Arthur Aguiar,arthuraguiar,701,14M,"2,256"
Ludacris,ludacris,730,14M,"10,000"
Joy,_imyour_joy,18,15M,"1,039"
ğ’ğğ ğğ… ğ€ ğğ‡ğ€ğ‘ğ€ğğ‡,pharrell,908,15M,74
â€Ø§Ù„Ø§Ø¡ Ø­Ø³ÙŠÙ† Alaa Husseinâ€,actress_alaa_hussein,757,15M,708
SM Entertainment Group,smtown,142,15M,"4,490"
Vivi Wanderley ğŸ’šğŸ§¸ğŸ®,vivi,"1,647",15M,"2,115"
â€Ø§Ù”Ø®Ø¨Ø§Ø± Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©â€,saudinews50,4,14M,"10,000"
Memes | Diy | Comedy | 5minute,tutorialsgallery,114,14M,"4,950"
á„‹á…µá„‰á…¥á†¼á„€á…§á†¼,heybiblee,3,15M,"1,216"
Sushant Singh Rajput,sushantsinghrajput,"6,616",14M,87
Tati Zaqui ğŸ‘½,tatizaqui,"1,913",14M,482
Ashish Chanchlani,ashishchanchlani,949,15M,"1,611"
Catriona Gray,catriona_gray,"1,298",14M,"2,762"
Giovanna Antonelli,giovannaantonelli,"1,250",19M,"5,152"
yoona__lim,yoona__lim,8,15M,692
Bruno Goes ğŸ­,nobru,603,14M,125
Migos,migos,24,14M,"3,478"
NCT Official Instagram,nct,25,15M,"2,710"
Kartika Putri,kartikaputriworld,"1,144",17M,931
The Game,losangelesconfidential,"1,380",14M,72
WISIN,wisin,979,14M,10K
Cesc FÃ bregas,cescf4bregas,565,15M,"1,070"
tiffany young,tiffanyyoungofficial,11,14M,186
á„€á…µá†·á„‰á…®á„’á…§á†« Kim Soo Hyun é‡‘ç§€è³¢,soohyun_k216,10,14M,345
ĞœĞ¸Ñ…Ğ°Ğ¸Ğ» Ğ“Ğ°Ğ»ÑƒÑÑ‚ÑĞ½ Galustyan,m_galustyan,43,14M,"1,343"
Fahriye Evcen OÌˆzcÌ§ivit,evcenf,258,14M,822
Mike Tyson,miketyson,313,21M,"1,253"
R O B E R T O F I R M I N O,roberto_firmino,900,15M,"1,108"
Vera Brezhneva,ververa,547,14M,"2,082"
Motivational & Relatable,advice,27,14M,"9,997"
,,,,
DILJIT DOSANJH,diljitdosanjh,11,15M,392
Casemiro,casemiro,679,20M,"1,080"
Mark Tuan,marktuan,56,14M,84
á„‰á…©á†¼á„€á…¡á†¼,songkang_b,0,15M,163
Tom Brady,tombrady,511,14M,803
Jessi / á„Œá…¦á„‰á…µ,jessicah_o,317,13M,794
Jordi Alba,jordialbaoficial,746,16M,"1,013"
Manuel Turizo - MTZ,manuelturizo,"1,409",13M,"1,109"
J O E J O N A S,joejonas,378,13M,"4,344"
Troian Bellisario,sleepinthegardn,"2,765",17M,"4,444"
TOMORROW X TOGETHER OFFICIAL,txt_bighit,2,14M,760
Ivan Martinez Perez,ivanmartinez,288,20M,81
Nash Grier,nashgrier,694,14M,"1,504"
AC Milan,acmilan,137,13M,10K
Lizzo,lizzobeeating,266,13M,"2,865"
555,trippieredd,81,15M,9
Ini Edo,iniedo,699,14M,"2,180"
Song hyekyo,kyo1122,188,14M,210
Gaby Espino,gabyespino,"5,097",13M,"7,415"
Marco Asensio,marcoasensio10,261,15M,900
Richard Ayodeji Makun (AY),aycomedian,"6,523",13M,10K
Kajol Devgan,kajol,12,14M,814
Marco Reus,marcinho11,232,13M,418
Muhammad Rizky Billar,rizkybillar,865,13M,478
Harry Kane,harrykane,220,14M,"1,170"
á´…á´€É´Éª Ê€á´œssá´,danirussotv,820,14M,"1,811"
Portugal,portugal,334,13M,"5,232"
Tyler â€œNinjaâ€ Blevins,ninja,313,13M,"1,463"
Lilly Singh,lilly,"1,735",13M,"5,082"
Ricky Harun,rickyharun,"2,194",17M,"1,932"
nicki.nicole,nicki.nicole,678,14M,272
KAYLA ITSINES,kayla_itsines,909,16M,"7,981"
Didier Drogba,didierdrogba,"1,871",13M,"1,313"
Titi Kamal,titi_kamall,"1,240",15M,"5,631"
ZeÌ Neto e Cristiano,zenetoecristiano,"1,462",14M,"5,630"
RODğŸ¥´,elrodrigocontreras,858,13M,169
Jennifer Winget,jenniferwinget1,556,15M,"1,006"
Grisha Eric,grisha_eric,47,12M,10
Remo Dsouza,remodsouza,218,13M,"3,179"
Paul Walker,paulwalker,20,16M,561
Paul Wesley,paulwesley,"1,133",13M,278
á„’á…ªá†¼á„‹á…µá†«á„‹á…§á†¸,hi_high_hiy,6,16M,142
Najwa Karam,najwakaram,64,14M,"1,880"
Keerthy Suresh,keerthysureshofficial,"1,069",15M,858
á„€á…µá†·á„‰á…©á„’á…§á†«,wow_kimsohyun,"6,772",13M,593
Chelsea Elizabeth Islan,chelseaislan,"4,987",15M,"1,025"
ACREDITE ğŸ§¡,joaogomescantor,"4,196",14M,244
Sophie Dee,sophiedee,"1,793",13M,471
AK ğŸ¤,anastasiya_kvitko,302,13M,"1,070"
Ayeza Khan,ayezakhan.ak,356,13M,629
Natasha Graziano,natashagraziano,"3,242",15M,678
Alex Gonzaga-Morada,cathygonzaga,113,13M,"2,277"
HEIR JORDYN,jordynwoods,491,13M,"3,401"
Jacob Elordi,jacobelordi,18,13M,49
â€Noha Nabil Ù†Ù‡Ù‰ Ù†Ø¨ÙŠÙ„â€,nohastyleicon,"2,455",13M,"8,314"
WASTED,wasted,185,12M,"2,446"
Humans of New York,humansofny,345,13M,"5,624"
KL RahulğŸ‘‘,klrahul,332,14M,895
Awez Darbar,awez_darbar,277,30M,"2,658"
KSI,ksi,578,13M,273
Cameron Boyce,thecameronboyce,249,13M,804
Aline Campos,soualinecampos,"3,362",13M,"8,915"
Ãlvaro Morte,alvaromorte,639,12M,539
Allen Iverson,theofficialai3,357,13M,"1,139"
Regina Daniels,regina.daniels,519,13M,"1,427"
Jay Shetty,jayshetty,"3,965",13M,"7,575"
Stan Lee,therealstanlee,346,13M,"1,053"
Shakti Mohan,mohanshakti,510,18M,"2,077"
Juice WRLD 9 9 9,juicewrld999,403,13M,173
ğ”¸ ğ•€ ğ•Š ğ•ƒ ğ•€ â„• â„• ğ•• ğ•– ğ•£ ğ•“ ğ•– ğ•«,aislinnderbez,"3,361",12M,"1,469"
Esha Gupta,egupta,"1,004",15M,400
Melanie Martinez,littlebodybigheart,263,13M,136
ğ“ğğ‡ğˆ,tohi,173,13M,864
Heba Magdi,heba_magdi,644,13M,"1,490"
Manuel Neuer,manuelneuer,227,13M,515
Gabriela Martins,gabimartins,"1,270",14M,"1,790"
Urassaya Sperbund,urassayas,605,13M,"3,760"
Ayten Amer,aytenamer,920,13M,"2,133"
easymoneysniper,easymoneysniper,"2,885",14M,32
Pabllo Vittar,pabllovittar,"1,646",13M,"3,226"
"Tyler, The Creator",feliciathegoat,232,14M,500
Chase Hudson,huddy,474,12M,94
Juanpa Zurita 2,juanpa,"2,682",13M,"2,890"
Jennifer Garner,jennifer.garner,"1,470",14M,"1,257"
Wild video,wild.video,700,12M,"3,653"
Ayudewi7984,mrsayudewi,"1,040",14M,"5,622"
BLUE BOY WA KISHUA,millardayo,"1,433",12M,10K
Nego do Borel ğŸ¼ğŸ¤ ğŸ‡§ğŸ‡·,negodoborel,"3,696",14M,"5,222"
"HONOR,LEALTAD Y RESPETO.",arcangel,483,15M,430
Carrie Underwood,carrieunderwood,286,13M,"2,154"
Mr P,peterpsquare,"7,821",13M,"7,868"
Anjali Arora,anjimaxuofficially,124,13M,"2,208"
Kim Shantal ğŸŒ¹,kimshantal,"1,784",12M,626
Glenn Alinskie,glennalinskie,771,14M,"4,670"
Nita Shilimkar,nita_shilimkar,212,13M,"2,236"
Amy Jackson,iamamyjackson,713,13M,435
Ramez Galal,ramezgalalac,198,12M,"1,168"
Courteney Cox,courteneycoxofficial,644,13M,379
ìŠ¬ê¸° Seulgi,hi_sseulgi,18,13M,656
ARIGAMEPLAYS,arigameplays,"1,692",12M,759
Tom Felton,t22felton,"1,873",12M,"1,865"
Xuxa,xuxameneghel,175,13M,"4,486"
Marian Rivera Gracia Dantes,marianrivera,"2,118",13M,"3,144"
Marc ter Stegen,mterstegen1,325,14M,766
Alissa Violet,alissaviolet,630,13M,873
Fujianti Utami Putri,fuji_an,"1,234",12M,451
â€Ø¹Ù„ÙŠ Ø¹Ø°Ø§Ø¨ - Ali Athabâ€,ali_athab9,631,12M,"2,283"
Cleveland Cavaliers,cavs,266,15M,10K
Ana Maria,anamaria16,4,129,1
FaZe Clan,fazeclan,187,12M,"5,719"
Burna Boy,burnaboygram,1,14M,"1,322"
Saul Alvarez,canelo,193,15M,"1,581"
Adam Sandler,adamsandler,45,15M,470
Michel TeloÌ,micheltelo,403,12M,"3,564"
Vanessa Lopes,vanessalopesr_,"1,808",14M,"2,167"
karrueche â„¢,karrueche,"1,314",14M,201
Deive Leonardo,deiveleonardo,"1,216",13M,"2,377"
Fifth Harmony,fifthharmony,"1,135",12M,"1,602"
MONT,mont.pantoja,"2,779",13M,14
SZA,sza,"1,132",15M,326
TAEHYUNG (ê¹€íƒœí˜•) Updates,taehyung.bighitentertainment,16,10M,91
Austin Mahone,austinmahone,213,12M,299
B E R O N A,rizkyfbian,"1,354",14M,177
Antonio Brown,ab,8,14M,584
Jada Pinkett Smith,jadapinkettsmith,188,12M,596
troye sivan,troyesivan,"1,113",14M,"1,618"
Mohamed Hamaki,hamaki,67,12M,985
Dude Perfect,dudeperfect,489,12M,"3,482"
MariÌa Pedraza,mariapedraza_,"1,002",12M,"2,598"
DAVID DOBRIK,daviddobrik,404,12M,491
GAVI,pablogavi,720,13M,96
Giovanna Chaves,giovannachaves,"1,756",12M,"2,654"
Equipe de France de Football,equipedefrance,168,14M,"6,018"
JoJo Siwa,itsjojosiwa,678,12M,"5,796"
Bipasha Basu,bipashabasu,326,13M,"4,185"
21savage,21savage,721,16M,"1,325"
Alessandra Ambrosio,alessandraambrosio,"1,552",12M,"7,095"
å°å®®å¸Œç¾ ğŸ¤,nadine,637,12M,635
Michelle Obama (archived),michelleobama44,13,12M,975
YARA,yara,87,12M,"4,898"
Marc Anthony,marcanthony,627,13M,"2,536"
Alex - that girl with the Cars,supercarblondie,581,12M,"1,718"
Cabronazi,cabronazi,208,12M,10K
Amanda Lee,amandaeliselee,187,12M,301
Goar Avetisyan,goar_avetisyan,389,12M,10K
Lea Elui G,leaelui,347,12M,784
Viking Barbieâš”,viking.barbie,319,12M,487
MaluÌ ğ“‚€,malutrevejo,834,12M,130
Tamannaah Bhatia,tamannaahspeaks,858,20M,"1,851"
Mariah Carey,mariahcarey,299,12M,"2,701"
FREE JEFFERY,lildurk,237,15M,14
ĞĞ°ÑÑ‚Ğ°ÑÑŒÑ Ğ¡Ğ°Ğ¼Ğ±ÑƒÑ€ÑĞºĞÑ,samburskaya,401,12M,"3,060"
Ya Supiste,duki,346,12M,57
Red Velvet Official,redvelvet.smtown,6,12M,"3,306"
ARMAAN MALIK ğŸ§¿,armaanmalik,657,14M,812
JoJo,jojotodynho,"5,844",25M,"2,563"
baifernbah,baifernbah,492,12M,"4,559"
Adnaan Shaikh,adnaan_07dz,464,12M,"4,272"
Chadwick Boseman,chadwickboseman,192,12M,396
â€Mohamed Emam â€¢ Ù…Ø­Ù…Ø¯ Ø§Ù•Ù…Ø§Ù…â€,mohamedemam,62,12M,"1,059"
Rebel Wilson,rebelwilson,288,12M,"1,270"
amyschumer,amyschumer,"3,241",13M,"3,229"
Celso Portiolli,celsoportiolli,"1,910",13M,"5,857"
Tom Hiddleston,twhiddleston,116,11M,50
FARGOâ€™S CRAZY LIFE,torylanez,327,12M,667
Shehnaaz Gill,shehnaazgill,19,14M,"1,350"
Kendrick Lamar,kendricklamar,2,13M,4
BIG WIZğŸ¦…,wizkidayo,14,17M,38
Alba Flores,albafloresoficial,998,11M,391
Gina Indelicada,ginaindelicada,"1,758",12M,"9,301"
Julia Barretto,juliabarretto,232,12M,"1,913"
WAKE UP AND MAKEUP,wakeupandmakeup,234,12M,10K
Lizbeth Rodriguez,lizbethrodriguezoficial,"7,542",12M,886
Rasheedadabosschick,rasheeda,"1,006",13M,"3,398"
Nesreen Tafesh,nesreentafesh,"1,879",12M,"3,283"
Kanika Kapoor,kanik4kapoor,"1,033",14M,"2,839"
FÃ¡tima Bernardes,fatimabernardes,932,13M,"3,437"
Mai Omar,maiomar_,"1,226",13M,"1,151"
TiaMowry,tiamowry,107,12M,"5,453"
anya geraldine,anyageraldine,934,12M,"2,428"
LALI,lalioficial,"2,731",12M,"6,784"
Banksy,banksy,0,12M,130
â€Ø¯ÙƒØªÙˆØ±Ø© Ø®Ù„ÙˆØ¯ğŸ’™ğŸ’‰ğŸ¥‡â€,dr_kholodiii,20,12M,"2,215"
Z.TAOğŸ”´é»„å­éŸ¬,hztttao,15,12M,706
David Alaba,davidalaba,90,12M,539
Antonia â€œToyaâ€ Johnson- Rushing,toyajohnson,"2,070",12M,10K
Araya Alberta Hargate,chomismaterialgirl,"1,078",11M,10K
Francia James,francety,695,12M,587
World Health Organization,who,111,13M,"3,195"
Ingrid Ohara,oharaingrid,606,12M,"1,357"
Maite Perroni Beorlegui,maiteperroni,"2,098",12M,393
Chris Paul,cp3,"1,072",12M,"1,067"
LUCAS,lucas_xx444,15,12M,150
Kutthroat Bill,kodakblack,105,13M,108
"Deddy Corbuzier, Ph.D",mastercorbuzier,"1,105",12M,"5,746"
Murat Boz,muratboz,432,12M,"1,115"
TAEYANG,__youngbae__,3,15M,2
â€Ø¹Ø¨Ø¯Ø§Ù„ÙƒØ±ÙŠÙ… Ø§Ù„Ù‡Ù†Ø¯Ø§Ù„ Ø§Ù„Ù‡Ø§Ø´Ù…ÙŠ - Ù…Ø¬Ù„Ø© ÙˆØ¶Ø­Ø©â€,qk20,330,13M,"6,721"
Nof,nof.ad,149,12M,156
MERCY AIGBE ADEOTI,realmercyaigbe,"5,957",12M,"9,371"
lanacondor,lanacondor,886,11M,918
William Levy / Actor Producer,willevy,18,11M,813
ğ—Ÿğ˜‚ğ—¶ğ˜€ ğ—™ğ—¼ğ—»ğ˜€ğ—¶,luisfonsi,589,13M,"5,268"
Zarithebosslady,zarithebosslady,46,11M,"1,460"
FLÃVIA ALESSANDRA,flaviaalessandra,"1,501",12M,"1,772"
Simi,symplysimi,"1,921",12M,217
EBI,ebi,85,11M,"2,238"
Heart Evangelista,iamhearte,"3,220",11M,10K
Laci Kay Somers,lacikaysomers,193,13M,163
David De Gea,d_degeaofficial,258,15M,635
Melissa McCarthy,melissamccarthy,212,12M,326
Thomas MuÌˆller,esmuellert,583,12M,"1,609"
KR â™› KEVIN ROLDAN,kevinroldankr,90,11M,"1,857"
Ana Hickmann,ahickmann,"1,731",15M,10K
Sebas Villalobos,sebas,"1,774",11M,"1,224"
Giannis Ugo Antetokounmpo,giannis_an34,175,15M,933
Markiplier,markiplier,84,11M,"1,092"
Jessica Biel,jessicabiel,272,13M,846
Rezende #ADR,rezende,967,11M,"1,650"
JARED LETO,jaredleto,4,11M,"3,649"
â€Shimaa Qasim - Ø´ÙŠÙ…Ø§Ø¡ Ù‚Ø§Ø³Ù…ğŸ¦‹â€,shimaa_qasim,205,12M,"1,127"
Yash,thenameisyash,2,13M,155
Manu Rios,manurios,480,11M,122
Frenkie de Jong,frenkiedejong,322,11M,386
Maiara e Maraisa,maiaraemaraisa,"2,419",13M,"5,702"
Sasha Pieterse Sheaffer,sashapieterse,"1,033",17M,"1,714"
â™¡ ğ–“ğ–Šğ–“ğ–† á´›Ê€á´€á´á´˜á´€,cazzu,271,11M,334
TaiÌs Araujo,taisdeverdade,"4,107",13M,"4,821"
Maria Becerra,mariabecerra,795,11M,507
MEL MAIA ğŸ¯,melissamelmaia,"2,434",17M,"3,070"
Bebe Rexha,beberexha,"1,777",11M,"1,344"
BigHit Music Updates,bighit_ent,18,13M,"3,598"
Emirhan OÌˆzhan,emirhanozhan,110,12M,59
BIG BOSS ğŸ”‘ğŸ”‘,keke,"2,760",12M,"4,202"
Gracyanne Barbosa ğŸ…¾ï¸ -,graoficial,970,11M,10K
Haifa Wehbe,haifawehbe,31,11M,"2,313"
The Royal Family,theroyalfamily,49,13M,"4,093"
Melody,melodyoficial3,"3,059",12M,879
Anwar Jibawi,anwar,"1,167",12M,"1,171"
Carles Puyol,carles5puyol,418,12M,870
Tracee Ellis Ross,traceeellisross,568,12M,"2,066"
Nour Arida,nouraridaofficial,630,11M,"3,454"
Maya Hawke,maya_hawke,912,11M,556
Sahil Khan,sahilkhan,354,12M,"4,157"
Zareen Khan ğŸ¦„ğŸŒˆâœ¨ğŸ‘¼ğŸ»,zareenkhan,338,14M,"1,350"
ğ•®ğ–ğ–“ğ–™ğ–ğ–ğ–† âœ,cinthiacruz_,"1,810",15M,"7,772"
,,,,
Jacob Sartorius,jacobsartorius,"1,795",12M,285
CauaÌƒ Reymond,cauareymond,"2,965",14M,"3,191"
â€â€¢ Ø³ÙŠØ±ÙŠÙ† Ø¹Ø¨Ø¯ Ø§Ù„Ù†ÙˆØ± â€¢â€,cyrineanour,164,14M,"1,599"
Jaehyun,_jeongjaehyun,0,14M,88
Patrice Evra,patrice.evra,232,12M,"1,299"
Nikki Bella,thenikkibella,844,11M,"7,458"
Monica ğŸ–¤,monicadenise,865,13M,167
Dulquer Salmaan,dqsalmaan,776,12M,626
Christian Figueiredo,christian_fig,"1,028",11M,"1,892"
Josefina Loisa Andalio,iamandalioloisa,880,11M,587
,,,,
Certified Young Fiery Lass,willowsmith,253,11M,"1,806"
Lojain Omran,lojain_omran,789,11M,"6,816"